date,deal_type,target,acquirer,title,url
2021-11-23,acquisition,stake,Veolia Environnement S,"CCI approves proposed combination involving (a) acquisition of stake by Veolia Environnement S.A (Veolia) in SUEZ (S.A), and (b) acquisition of stake in New Suez by Meridiam, Global Infrastructure Management, LLC, La Cai...",https://pib.gov.in/PressReleasePage.aspx?PRID=1774330
2021-11-15,acquisition,ASK Investment Managers Limited,BCP TopCo XII Pte Ltd,CCI approves acquisition of 71.25% shareholding of ASK Investment Managers Limited by BCP TopCo XII Pte Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=1772044
2021-10-25,acquisition,Parexel International Corporation,Phoenix Parentco,"CCI approves acquisition of Parexel International Corporation by Phoenix Parentco, Inc.",https://pib.gov.in/PressReleasePage.aspx?PRID=1766361
2021-09-23,acquisition,shares in Fullerton India Credit Company Limited,Sumitomo Mitsui Financial Group,"CCI approves acquisition of shares in Fullerton India Credit Company Limited by Sumitomo Mitsui Financial Group, Inc.",https://pib.gov.in/PressReleasePage.aspx?PRID=1757361
2021-09-09,acquisition,Indiabulls Asset Management Company Limited and Indiabulls Trustee Company Limited,Nextbillion Technology Private Limited,CCI approves acquisition of Indiabulls Asset Management Company Limited and Indiabulls Trustee Company Limited by Nextbillion Technology Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1753610
2021-09-09,acquisition,Inflow Technologies Private Limited,Savex Technologies Private Limited,CCI approves acquisition of Inflow Technologies Private Limited by Savex Technologies Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1753611
2021-08-13,acquisition,shares by MacRitchie Investments and Fort Canning Investments; and voting rights,Mr. Bhavish Aggarwal in ANI Technologies Private Limited,CCI approves acquisition of shares by MacRitchie Investments and Fort Canning Investments; and voting rights by Mr. Bhavish Aggarwal in ANI Technologies Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1745503
2021-08-13,acquisition,shares,Plum Wood Investment and voting rights by Mr,CCI approves acquisition of shares by Plum Wood Investment and voting rights by Mr. Bhavish Aggarwal in ANI Technologies Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1745505
2021-08-10,acquisition,Bikaji Foods International Limited,Lighthouse India Fund III,"CCI approves acquisition of Bikaji Foods International Limited by Lighthouse India Fund III, Limited (Fund III) and Lighthouse India III Employee Trust",https://pib.gov.in/PressReleasePage.aspx?PRID=1744506
2021-08-04,acquisition,equity stake in PNB Housing Finance Limited,Pluto Investments S,"CCI receives notice relating to acquisition of equity stake in PNB Housing Finance Limited by Pluto Investments S.à r.l. and Salisbury Investments Private Limited, under Green Channel and is deemed approved",https://pib.gov.in/PressReleasePage.aspx?PRID=1742299
2021-07-20,acquisition,Mukand Limited,Bajaj Sevashram Private Limited,"CCI approves acquisition of Mukand Limited by Bajaj Sevashram Private Limited, Bachhraj & Company Private Limited, Bachhraj Factories Private Limited and Sanraj Nayan Investments Private Limited",https://pib.gov.in/PressReleasePage.aspx?PRID=1737296
2021-07-15,acquisition,equity stake in JSW Cement,Synergy Metals Investments Holding Limited,"CCI receives notice relating to acquisition of equity stake in JSW Cement by Synergy Metals Investments Holding Limited, under Green Channel and is deemed approved",https://pib.gov.in/PressReleasePage.aspx?PRID=1735761
2021-07-01,acquisition,SB Energy Holding Limited,Adani Green Energy Limited,CCI approves acquisition of SB Energy Holding Limited by Adani Green Energy Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1731853
2021-06-25,acquisition,Zuarinagar plant of Zuari Agro Chemicals Limited,Paradeep Phosphates Limited,CCI approves acquisition of Zuarinagar plant of Zuari Agro Chemicals Limited by Paradeep Phosphates Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1730316
2021-06-22,acquisition,additional equity shareholding,Heineken International B,CCI approves acquisition of additional equity shareholding by Heineken International B.V. of United Breweries Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1729307
2021-06-03,acquisition,"Avana Logistek Limited, Transworld Feeders Private Limited and Transworld Feeders FZCO",Unifeeder ISC FZCO,"CCI approves acquisition of Avana Logistek Limited, Transworld Feeders Private Limited and Transworld Feeders FZCO by Unifeeder ISC FZCO",https://pib.gov.in/PressReleasePage.aspx?PRID=1724169
2021-05-18,acquisition,additional 25% shareholding of Adani Krishnapatnam Port Limited,Adani Ports and Special Economic Zone Limited,CCI approves proposed acquisition of additional 25% shareholding of Adani Krishnapatnam Port Limited by Adani Ports and Special Economic Zone Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1719647
